version:v1.0,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname]
Matthew Abate,matthew.abate@bearnecessities.app,Temporary!1, No,Matthew,Abate
Erick Acevedo,erick.acevedo@bearnecessities.app,Temporary!2, No,Erick,Acevedo
Emma Acker,emma.acker@bearnecessities.app,Temporary!3, No,Emma,Acker
Clayton Adair,clayton.adair@bearnecessities.app,Temporary!4, No,Clayton,Adair
Laila Adawadkar,laila.adawadkar@bearnecessities.app,Temporary!5, No,Laila,Adawadkar
Isaac Adkins,isaac.adkins@bearnecessities.app,Temporary!6, No,Isaac,Adkins
Brenden Ahl,brenden.ahl@bearnecessities.app,Temporary!7, No,Brenden,Ahl
Nathan Aime,nathan.aime@bearnecessities.app,Temporary!8, No,Nathan,Aime
Tabitha Aime,tabitha.aime@bearnecessities.app,Temporary!9, No,Tabitha,Aime
Viola Ajro,viola.ajro@bearnecessities.app,Temporary!10, No,Viola,Ajro
Brian Akalski,brian.akalski@bearnecessities.app,Temporary!11, No,Brian,Akalski
Avis Akers,avis.akers@bearnecessities.app,Temporary!12, No,Avis,Akers
Dashiel Albright,dashiel.albright@bearnecessities.app,Temporary!13, No,Dashiel,Albright
Abraham Al-Khalili,abraham.al-khalili@bearnecessities.app,Temporary!14, No,Abraham,Al-Khalili
Alexa Allen,alexa.allen@bearnecessities.app,Temporary!15, No,Alexa,Allen
Sontino Allentuck,sontino.allentuck@bearnecessities.app,Temporary!16, No,Sontino,Allentuck
Aidan Andersen,aidan.andersen@bearnecessities.app,Temporary!17, No,Aidan,Andersen
Hayden Anderson,hayden.anderson@bearnecessities.app,Temporary!18, No,Hayden,Anderson
Raniah Andrianjafimahery,raniah.andrianjafimahery@bearnecessities.app,Temporary!19, No,Raniah,Andrianjafimahery
Emma Jane Andrus,emmajane.andrus@bearnecessities.app,Temporary!20, No,Emma Jane,Andrus
David Anthony,david.anthony@bearnecessities.app,Temporary!21, No,David,Anthony
Hanna Nicole Apelizan,hannanicole.apelizan@bearnecessities.app,Temporary!22, No,Hanna Nicole,Apelizan
Shyam Arakere,shyam.arakere@bearnecessities.app,Temporary!23, No,Shyam,Arakere
Joseph Armentrout,joseph.armentrout@bearnecessities.app,Temporary!24, No,Joseph,Armentrout
Faith Arnold,faith.arnold@bearnecessities.app,Temporary!25, No,Faith,Arnold
Emily Arpino,emily.arpino@bearnecessities.app,Temporary!26, No,Emily,Arpino
Solomon Ashby,solomon.ashby@bearnecessities.app,Temporary!27, No,Solomon,Ashby
Palmer Ashley,palmer.ashley@bearnecessities.app,Temporary!28, No,Palmer,Ashley
Elizabeth Atkinson,elizabeth.atkinson@bearnecessities.app,Temporary!29, No,Elizabeth,Atkinson
Grace Austin,grace.austin@bearnecessities.app,Temporary!30, No,Grace,Austin
Orwin Austin,orwin.austin@bearnecessities.app,Temporary!31, No,Orwin,Austin
Leomar Ayala-Irizarry,leomar.ayala-irizarry@bearnecessities.app,Temporary!32, No,Leomar,Ayala-Irizarry
Amr Baadani,amr.baadani@bearnecessities.app,Temporary!33, No,Amr,Baadani
Laila Baameur,laila.baameur@bearnecessities.app,Temporary!34, No,Laila,Baameur
Caeden Babcock,caeden.babcock@bearnecessities.app,Temporary!35, No,Caeden,Babcock
Alexander Baggett,alexander.baggett@bearnecessities.app,Temporary!36, No,Alexander,Baggett
Elkhan Bagirov,elkhan.bagirov@bearnecessities.app,Temporary!37, No,Elkhan,Bagirov
Leah Balser,leah.balser@bearnecessities.app,Temporary!38, No,Leah,Balser
Jerry James Banek Gabelle,jerryjames.banekgabelle@bearnecessities.app,Temporary!39, No,Jerry James,Banek Gabelle
Arlyn Bangsoy,arlyn.bangsoy@bearnecessities.app,Temporary!40, No,Arlyn,Bangsoy
Joshua Banks,joshua.banks@bearnecessities.app,Temporary!41, No,Joshua,Banks
Julia Barbalato,julia.barbalato@bearnecessities.app,Temporary!42, No,Julia,Barbalato
Sierra Barbee,sierra.barbee@bearnecessities.app,Temporary!43, No,Sierra,Barbee
Tye Barker,tye.barker@bearnecessities.app,Temporary!44, No,Tye,Barker
Richard Barkley,richard.barkley@bearnecessities.app,Temporary!45, No,Richard,Barkley
Ryan Barnard,ryan.barnard@bearnecessities.app,Temporary!46, No,Ryan,Barnard
Lara Baronsky,lara.baronsky@bearnecessities.app,Temporary!47, No,Lara,Baronsky
Jonathan Barrett,jonathan.barrett@bearnecessities.app,Temporary!48, No,Jonathan,Barrett
Agustin Barrido,agustin.barrido@bearnecessities.app,Temporary!49, No,Agustin,Barrido
Bridget Bartz,bridget.bartz@bearnecessities.app,Temporary!50, No,Bridget,Bartz
Drew Basque,drew.basque@bearnecessities.app,Temporary!51, No,Drew,Basque
Addison Bass,addison.bass@bearnecessities.app,Temporary!52, No,Addison,Bass
Hailey Bateman,hailey.bateman@bearnecessities.app,Temporary!53, No,Hailey,Bateman
Jackson Bauer,jackson.bauer@bearnecessities.app,Temporary!54, No,Jackson,Bauer
Luc Bay,luc.bay@bearnecessities.app,Temporary!55, No,Luc,Bay
Grant Bayesa,grant.bayesa@bearnecessities.app,Temporary!56, No,Grant,Bayesa
Jackson Beal,jackson.beal@bearnecessities.app,Temporary!57, No,Jackson,Beal
Grace Beardsley,grace.beardsley@bearnecessities.app,Temporary!58, No,Grace,Beardsley
Alexander Beato,alexander.beato@bearnecessities.app,Temporary!59, No,Alexander,Beato
Elise Beauchemin,elise.beauchemin@bearnecessities.app,Temporary!60, No,Elise,Beauchemin
Natalie Beck,natalie.beck@bearnecessities.app,Temporary!61, No,Natalie,Beck
Mia Becker,mia.becker@bearnecessities.app,Temporary!62, No,Mia,Becker
Finn Bediamol,finn.bediamol@bearnecessities.app,Temporary!63, No,Finn,Bediamol
Charles Bednar,charles.bednar@bearnecessities.app,Temporary!64, No,Charles,Bednar
Emma Behel,emma.behel@bearnecessities.app,Temporary!65, No,Emma,Behel
Reed Beighau,reed.beighau@bearnecessities.app,Temporary!66, No,Reed,Beighau
Ryan Beighau,ryan.beighau@bearnecessities.app,Temporary!67, No,Ryan,Beighau
Daniel Belen Henroid,daniel.belenhenroid@bearnecessities.app,Temporary!68, No,Daniel,Belen Henroid
Sarah Bell,sarah.bell@bearnecessities.app,Temporary!69, No,Sarah,Bell
Kailee Beloberk,kailee.beloberk@bearnecessities.app,Temporary!70, No,Kailee,Beloberk
Allison Benstead,allison.benstead@bearnecessities.app,Temporary!71, No,Allison,Benstead
Owen Berger,owen.berger@bearnecessities.app,Temporary!72, No,Owen,Berger
Travis Berres,travis.berres@bearnecessities.app,Temporary!73, No,Travis,Berres
Nico Berrios,nico.berrios@bearnecessities.app,Temporary!74, No,Nico,Berrios
Cecelia Bertrand,cecelia.bertrand@bearnecessities.app,Temporary!75, No,Cecelia,Bertrand
Milo Bertrand,milo.bertrand@bearnecessities.app,Temporary!76, No,Milo,Bertrand
Ella Besant,ella.besant@bearnecessities.app,Temporary!77, No,Ella,Besant
Diba Bhuiyan,diba.bhuiyan@bearnecessities.app,Temporary!78, No,Diba,Bhuiyan
Dylan Bird,dylan.bird@bearnecessities.app,Temporary!79, No,Dylan,Bird
Tyler Bissett,tyler.bissett@bearnecessities.app,Temporary!80, No,Tyler,Bissett
Nathan Black,nathan.black@bearnecessities.app,Temporary!81, No,Nathan,Black
Colbrin Blanchette,colbrin.blanchette@bearnecessities.app,Temporary!82, No,Colbrin,Blanchette
